DepthAvereagedEveryMeter_mbsf_,BulkDensity,MagneticSusceptibility,NaturalGammaRay,K___,Th_ppm_,U_ppm_,Resistivity,Vp,Vs,Caliper_in_,ROP_m_hr_,Perc100Lithology,PrincLithology,PrincLithology_1m,FullLithology,Predicted,Cluster
0.5,,,,,,,,,,,,,,,,serpentinite,0
1.5,,,0.5325954,,,0.144826308333333,,,,,,,,,,serpentinite,0
2.5,,,0.656421871428571,,,0.258141728571429,,,,,,,,,,serpentinite,0
3.5,,,0.867894183333333,,,0.358326151666667,,,,,,,,,,serpentinite,0
4.5,,,1.22413635714286,,0.0284625708571429,0.281442742857143,,,,,,,,,,serpentinite,0
5.5,,,0.786679633333333,,0.0409005951666667,0.0543245226666667,,,,,,,,,,serpentinite,0
6.5,,,0.761506014285714,,0.0086571647142857,,,,,,,,,,,serpentinite,0
7.5,,,0.218140874285714,,0.0060921594285714,0.0530131892857143,,,,,,,,,,serpentinite,0
8.5,,,0.319800186666667,,,0.0760313016666667,,,,,,,,,,serpentinite,0
9.5,,,0.898455214285714,,,0.131450832857143,,,,,,,,,,serpentinite,0
10.5,,,0.821960275,,0.0943014241666667,0.2120235985,,,,,,,,,,serpentinite,0
11.5,,,1.65578772857143,,0.147206711428571,0.300582271428571,,,,,,,,,,serpentinite,0
12.5,,,0.5687395,,,0.0675178533333333,,,,,,,,,,serpentinite,0
13.5,,,0.662368785714286,,0.01466214,0.0649731528571429,,,,,,,,,,serpentinite,0
14.5,,,0.816888066666667,0.0229938466666667,0.0278511183333333,,,,,,,,,,,serpentinite,0
15.5,,,0.979211314285714,0.0122137204285714,0.0610161657142857,0.0462808875142857,,,,,,,,,,serpentinite,0
16.5,,,1.73504871428571,,0.178536428571429,0.228821142857143,,,,,,,,,,serpentinite,0
17.5,,,2.59508666666667,,0.162006526666667,0.377522916666667,,,,,,,,,,serpentinite,0
18.5,,,1.31580611428571,,0.150445075714286,0.211081528571429,,,,,,,,,,serpentinite,0
19.5,,,1.69511,,0.104411513333333,0.26222935,,,,,,,,,,serpentinite,0
20.5,,,1.48280771428571,0.0301163828571429,,0.108119552857143,,,,,,,,,,serpentinite,0
21.5,2.65757112820513,,1.21752583333333,,,0.148351933333333,,,,,,,,,,serpentinite,1
22.5,,,1.46560114285714,,,0.2678734,,,,,,,,,,serpentinite,0
23.5,2.66374161538462,,1.5699375,,,0.286908033333333,,,,,0.9,serpentinite,harzburgite,,,serpentinite,1
24.5,2.66301276923077,,1.44119838571429,,,0.346200428571429,,,,,,serpentinite,harzburgite,,,serpentinite,1
25.5,2.6244729,,1.46344021428571,,,0.375144714285714,,,,,,,,,,serpentinite,0
26.5,2.64717276923077,,0.637401366666667,,,0.166695126666667,,,,,,,,,,serpentinite,1
27.5,2.6868105,,1.52282185714286,,,0.297693157142857,,,,,,,,,,serpentinite,1
28.5,2.61792264102564,,3.69404476666667,,0.0201249706666667,0.490837233333333,,,,,,serpentinite,dunite,,,serpentinite,0
29.5,,1065.59857142857,11.9038071428571,,0.0767427728571429,1.65540314285714,10.471011,4.29965,,,3.4,serpentinite,harzburgite,,,serpentinite,1
30.5,,952.672307692308,10.6702416666667,,,1.43671266666667,16.8706514285714,3.85401428571429,,,,,,,,serpentinite,1
31.5,,952.78,9.28671214285714,0.01163834,,1.10927814285714,19.7135183333333,4.07615,,,,,,,,serpentinite,1
32.5,,776.1845,8.38239771428571,0.0045614021428571,0.0465327061571429,0.998599557142857,20.0123428571429,4.05977142857143,,,,,,,,serpentinite,1
33.5,,859.303333333333,7.72495833333333,,0.152316466666667,0.8839249,21.527835,4.33708333333333,,,,serpentinite,dunite,,,serpentinite,1
34.5,,989.9795,7.80828271428571,0.014417603,0.0888772342857143,0.852998571428571,13.1446134285714,3.67598571428571,,,2.6,serpentinite,harzburgite,,,serpentinite,1
